"Identifiant de la publication","Lien permanent","Message de publication",Type,Pays,Langues,Publié,"Ciblage d’audience","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
447103548968697_1396386564040386,https://www.facebook.com/refyld/photos/a.454809411531444/1396386564040386/?type=3,"Nos produits parfaits pour une jolie peau ✨⁠
⁠
Parce qu’il s'agisse de produits de soin, d'hygiène ou d'entretien, il est nécessaire de préserver sa peau. Elle est l'un des plus grands organes du corps et remplie un rôle de barrière pour l'organisme contre les agressions extérieurs. ⁠
⁠
Des produits naturels et non irritants sont essentiels pour prendre soin de sa peau au quotidien. ⁠
⁠
Alors chez Refyld, on a imaginé des produits simples et efficaces pour prendre soin de vous et de votre maison, sans pour autant agresser votre peau. Et nous avons hâte de vous les présenter ! 😊⁠ #comingsoon⁠
⁠",Photo,,,"01/18/2021 10:55:13 PM"," ",475,475,0,479,479,0,22,13,21,1,1,373,363,0,0,18,0,0,0,0,0,0,0,0,0,0,11,2,1,11,2,1,12,2,,19,2,,1,,1,
447103548968697_1395805230765186,https://www.facebook.com/refyld/photos/a.454809411531444/1395805230765186/?type=3,"Si vous vous dites que vous ne pouvez pas changer le monde et que vos efforts ne seront qu’une goutte d’eau perdue dans l’océan…Vous avez raison ! 😅 ⁠
⁠
Mais c'est bien la raison pour laquelle nous devons agir dès maintenant et pousser notre entourage à faire de même. ⁠
⁠
Faites de votre mode de vie un « virus très contagieux » en 2021...😉 Si tout le monde se dit qu’agir individuellement ne sert à rien, alors personne ne fera rien et là nous serons vraiment condamnés.⁠
⁠
Alors, oui nous ne sommes pas des super héros.ïnes qui allons sauver le monde, mais de simples citoyens.nes du monde qui ont pour devoir d’agir, en faisant chacun sa part. Vous nous suivez ? 💪⁠
⁠
PS : faire sa part c'est aussi adhérer à Refyld pour consommer uniquement des produits bons pour vous comme pour la planète. Par ici : https://www.okpal.com/refyld-la-qualite-accessible-a-tous-tes/  pour l'adhésion annuelle à tarif early bird 🤗⁠",Photo,,,"01/18/2021 02:10:10 AM"," ",319,319,0,327,327,0,9,6,8,0,0,263,253,0,0,9,0,0,0,0,0,0,0,0,0,0,4,1,,4,1,,4,,2,6,,2,,,,
447103548968697_1393820000963709,https://www.facebook.com/refyld/photos/a.454809411531444/1393820000963709/?type=3,"🚀 La team #Refyld s'agrandit !

Nous souhaitons la bienvenue à Bryan Seychelles, fraichement arrivé dans l’équipe en alternance : en tant que Lead Développeur.ses Fullstack 💻

Si vous aussi vous souhaitez rejoindre la team, allez faire un tour sur How I Met Your Planet nous recherchons toujours un Bras Droit / Operation Manager ! Par ici : https://howimetyourplanet.fr/entreprise/55-refyld 🔍",Photo,,,"01/15/2021 01:10:14 AM"," ",534,534,0,559,559,0,28,15,19,2,2,439,419,0,0,22,0,0,0,0,0,0,0,0,0,0,15,,,16,,2,6,2,8,9,2,8,1,1,1,1
447103548968697_1393125071033202,https://www.facebook.com/refyld/photos/a.454809411531444/1393125071033202/?type=3,"Petite devinette : ⁠
⁠
🖐️ Je fais partie des gestes essentiels du quotidien, ⁠
💫 Je vous aide à avoir une peau nourrie, fraîche et éclatante, ⁠
🌱 Je suis naturelle et je préserve la biodiversité,⁠
🌊 Je puise mes principes actifs dans le milieu marin, ⁠
✨ Mon odeur est légère et naturelle,⁠
♻️ Je suis 100% rechargeable, ⁠
⁠
Simple et efficace, je suis... ?⁠
⁠
1️⃣⁠ Un masque pour les cheveux⁠
2️⃣ Un lait corps⁠
3️⃣ Un démaquillant⁠
4️⃣ Une crème visage ⁠
5️⃣Une crème pour les mains⁠
⁠
Partagez-nous vous idées en commentaire 👀⁠
#comingsoon⁠
⁠
⁠",Photo,,,"01/14/2021 01:15:05 AM"," ",146,146,0,151,151,0,4,2,2,0,0,97,94,0,0,4,0,0,0,0,0,0,0,0,0,0,4,,,4,,,1,1,,1,1,,,,,
447103548968697_1392534081092301,https://www.facebook.com/refyld/posts/1392534081092301,"On parle de nous 🇫🇷

Dans l'émission La Quotidienne sur France 5 , ce mercredi 13 janvier, nos produits d'entretien sont mis à l'honneur.

Des premiers prototypes qui font déjà sensation !
On a donc hâte de vous présenter les produits terminés. 🚀

#consommationresponsable #refyld #produitsdentretien #comingsoon",Photo,,,"01/13/2021 03:23:16 AM"," ",723,723,0,738,738,0,52,23,33,0,0,481,465,0,0,42,0,0,0,0,0,0,0,0,0,0,33,2,3,34,2,3,21,4,,29,4,,,,,
447103548968697_1391840744494968,https://www.facebook.com/refyld/posts/1391840744494968,"L’ultime pièce de vie où vous aimez prendre soin de vous en toute intimité ? ⁠
⁠
La salle de bain, bien sûr ! Pour nous, c'est la pièce la plus simple pour se lancer dans le #ZéroDéchet. Et avec nos produits, ce sera un jeu d'enfant. 😍 ⁠
⁠
Et vous, quelle est la pièce de la maison que vous trouvez facile à faire évoluer ? 👀⁠
1️⃣⁠ La salle de bain⁠
2️⃣ La cuisine⁠
3️⃣ La chambre⁠
4️⃣ Le coin buanderie⁠
5️⃣La chambre des kids (si enfants vous avez😉)⁠
⁠
Dites-nous en commentaire 👇",Photo,,,"01/12/2021 01:20:55 AM"," ",192,192,0,201,201,0,5,1,1,0,0,132,124,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,,4,1,,,1,,,1,,,,,
447103548968697_1389026721443037,https://www.facebook.com/refyld/posts/1389026721443037,"🚀 La team #Refyld s'agrandit !

Nous souhaitons la bienvenue à Margaux, fraichement arrivée dans l’équipe : en tant qu'assistante Brand Content &amp; Social Media. 💛

Si vous aussi vous souhaitez rejoindre la team, allez faire un tour sur How I Meet Your Planet 👉 https://bit.ly/2XzibB3, nous postons régulièrement des nouveaux #jobs à pourvoir ! 💻",Photo,,,"01/08/2021 01:08:45 AM"," ",537,537,0,570,570,0,64,46,68,1,1,439,408,0,0,59,0,0,0,0,0,0,0,0,0,0,25,1,,25,1,1,22,3,23,42,3,23,,1,,1
447103548968697_1386462971699412,https://www.facebook.com/refyld/posts/1386462971699412,"Nos résolutions pour l'année 2021 ?⁠⠀
⁠⠀
💡 Réduire⁠⠀
💡 Recharger⁠⠀
💡 Réutiliser⁠⠀
⁠⠀
Pas une de plus. ✔️ Et vous, vos résolutions, vos envies, vos souhaits... ? 😊",Photo,,,"01/05/2021 03:56:38 AM"," ",322,322,0,350,350,0,13,2,2,0,0,276,249,0,0,12,0,0,0,0,0,0,0,0,0,0,11,,,11,,,2,,,2,,,,,,
447103548968697_1385007688511607,https://www.facebook.com/refyld/posts/1385007688511607,"Pour libérer l'accès à la qualité, chez Refyld on relève un défi, vous proposer :⁠
⁠
💡 Des produits durables⁠
💛 Avec des ingrédients sains pour l'humain et la planète⁠
💫 Dotés d'un beau design⁠
💰 Le tout à un prix accessible⠀⠀⠀⠀⠀⁠
⁠
Si nous voulons vraiment faire changer les choses, nous avons besoin que chacun.e d'entre nous puisse avoir accès à des produits de qualité. ⁠
⁠
Parce que, comment pouvons-nous aborder la question de la consommation responsable si nous laissons une partie de la population en dehors de la conversation ? ⁠
⁠
Chez Refyld, on pense que l'on pourra parler autant que l'on veut de consommation responsable, mais elle n'aura pas d'importance et ne sera peut-être jamais atteinte tant que nous n'y avons pas toutes et tous accès. ✊ ⁠
⁠
👉 Notre objectif est de fournir l'accès à une consommation responsable, de qualité, juste et inclusive.",Photo,,,"01/03/2021 02:54:02 AM"," ",306,306,0,313,313,0,3,2,3,0,0,236,228,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,,2,1,,2,,,3,,,,,,
447103548968697_1384998511845858,https://www.facebook.com/refyld/posts/1384998511845858,"La meilleure façon de commencer l'année ? Prendre soin de soi. 💫⁠
⁠
Ou réduire ses déchets, ça marche aussi. 😄⁠
⁠
Très bon début d'année à tous.tes !",Photo,,,"01/03/2021 02:33:40 AM"," ",422,422,0,435,435,0,15,5,6,0,0,361,352,0,0,15,0,0,0,0,0,0,0,0,0,0,10,,,10,,,4,2,,4,2,,,,,
